Area_Name,Year,Fraud,Loss_10_Crores,Loss_10-25_Crores,Loss_25-50_Crores,Loss_50-100_Crores,Loss_100-above_Crores
Andhra Pradesh,2010,Cheating,14,0,0,0,0
Arunachal Pradesh,2010,Cheating,0,0,0,0,0
Bihar,2010,Cheating,0,0,0,0,0
Chhattisgarh,2010,Cheating,0,0,0,0,0
Delhi,2010,Cheating,48,23,12,0,0
Goa,2010,Cheating,1,0,0,0,0
Gujarat,2010,Cheating,10,1,1,1,1
Haryana,2010,Cheating,3,0,0,0,1
Himachal Pradesh,2010,Cheating,0,0,0,0,0
Jammu & Kashmir,2010,Cheating,0,0,0,0,0
Jharkhand,2010,Cheating,0,0,0,0,0
Karnataka,2010,Cheating,3131,3,0,0,0
Kerala,2010,Cheating,4,1,1,1,0
Madhya Pradesh,2010,Cheating,1,1,1,0,0
Maharashtra,2010,Cheating,75,5,1,1,1
Manipur,2010,Cheating,0,0,0,0,0
Meghalaya,2010,Cheating,0,0,0,0,0
Nagaland,2010,Cheating,14,0,0,0,0
Odisha,2010,Cheating,0,0,0,0,0
Punjab,2010,Cheating,5,0,0,0,0
Tamil Nadu,2010,Cheating,5,1,0,0,0
Uttar Pradesh,2010,Cheating,5,0,0,0,0
West Bengal,2010,Cheating,16,9,1,1,0
Andhra Pradesh,2010,Criminal Breach of Trust,4,3,3,15,0
Arunachal Pradesh,2010,Criminal Breach of Trust,0,0,0,0,0
Bihar,2010,Criminal Breach of Trust,0,0,0,0,0
Chandigarh,2010,Criminal Breach of Trust,2,1,0,0,0
Chhattisgarh,2010,Criminal Breach of Trust,0,0,0,0,0
Delhi,2010,Criminal Breach of Trust,1,0,0,0,0
Gujarat,2010,Criminal Breach of Trust,9,0,0,0,0
Himachal Pradesh,2010,Criminal Breach of Trust,0,0,0,0,0
Jammu & Kashmir,2010,Criminal Breach of Trust,0,0,0,0,0
Jharkhand,2010,Criminal Breach of Trust,0,20,0,0,0
Karnataka,2010,Criminal Breach of Trust,461,1,1,1,0
Kerala,2010,Criminal Breach of Trust,6,0,0,0,0
Madhya Pradesh,2010,Criminal Breach of Trust,2,0,0,0,0
Maharashtra,2010,Criminal Breach of Trust,13,6,2,0,1
Manipur,2010,Criminal Breach of Trust,0,0,0,0,0
Meghalaya,2010,Criminal Breach of Trust,0,0,0,0,0
Nagaland,2010,Criminal Breach of Trust,10,0,0,0,0
Odisha,2010,Criminal Breach of Trust,0,0,0,0,0
Punjab,2010,Criminal Breach of Trust,2,0,0,0,0
Tamil Nadu,2010,Criminal Breach of Trust,9,0,0,0,0
Uttar Pradesh,2010,Criminal Breach of Trust,3,0,0,0,0
West Bengal,2010,Criminal Breach of Trust,1,0,0,0,0
