Area_Name,Year,Group_Name,Sub_Group_Name,Cases_Property_Recovered,Cases_Property_Stolen,Value_of_Property_Recovered,Value_Property_Stolen
Andaman & Nicobar Islands,2010,Burglary - Property,3. Burglary,34,80,657512,1955919
Andhra Pradesh,2010,Burglary - Property,3. Burglary,4125,8126,167645552,455774882
Arunachal Pradesh,2010,Burglary - Property,3. Burglary,68,211,5064245,13423241
Assam,2010,Burglary - Property,3. Burglary,316,3458,5554079,36025717
Bihar,2010,Burglary - Property,3. Burglary,337,3437,5194263,55766542
Chandigarh,2010,Burglary - Property,3. Burglary,86,236,2908560,13877193
Chhattisgarh,2010,Burglary - Property,3. Burglary,1190,3711,21946160,107637049
Dadra & Nagar Haveli,2010,Burglary - Property,3. Burglary,15,25,864969,1563407
Daman & Diu,2010,Burglary - Property,3. Burglary,7,27,608500,4866090
Delhi,2010,Burglary - Property,3. Burglary,434,1502,9959580,187493962
Goa,2010,Burglary - Property,3. Burglary,63,344,2767165,35912213
Gujarat,2010,Burglary - Property,3. Burglary,1085,3850,57003755,280852404
Haryana,2010,Burglary - Property,3. Burglary,1442,4445,46370810,165957683
Himachal Pradesh,2010,Burglary - Property,3. Burglary,131,743,16611843,61646681
Jammu & Kashmir,2010,Burglary - Property,3. Burglary,325,1385,12268021,61950557
Jharkhand,2010,Burglary - Property,3. Burglary,230,1357,5143505,30538107
Karnataka,2010,Burglary - Property,3. Burglary,2053,6059,190809043,358763287
Kerala,2010,Burglary - Property,3. Burglary,956,2468,93602702,232893329
Lakshadweep,2010,Burglary - Property,3. Burglary,1,3,13000,25000
Madhya Pradesh,2010,Burglary - Property,3. Burglary,3092,9897,57395236,283085880
Maharashtra,2010,Burglary - Property,3. Burglary,4536,15724,195337676,1330713671
Manipur,2010,Burglary - Property,3. Burglary,2,66,12660,4992852
Meghalaya,2010,Burglary - Property,3. Burglary,36,154,562599,4513197
Mizoram,2010,Burglary - Property,3. Burglary,309,425,2942515,6957888
Nagaland,2010,Burglary - Property,3. Burglary,12,62,231350,10350604
Odisha,2010,Burglary - Property,3. Burglary,1194,2855,20486035,160459113
Puducherry,2010,Burglary - Property,3. Burglary,44,72,1855074,3593876
Punjab,2010,Burglary - Property,3. Burglary,1275,2660,56491870,191928824
Rajasthan,2010,Burglary - Property,3. Burglary,1513,4454,104650678,222873182
Sikkim,2010,Burglary - Property,3. Burglary,16,72,257190,5633540
Tamil Nadu,2010,Burglary - Property,3. Burglary,2953,4715,120836243,247787824
Tripura,2010,Burglary - Property,3. Burglary,37,217,975680,5192214
