STATE,YEAR,Pupose,Total_Cases,Male_0-10,Female_0-10,Male_10-15,Female_10-15,Male_15-18,Female_15-18,Male_18-30,Female_18-30,Male_30-50,Female_30-50,Male_above50,Female_above_50,Total_Male,Total_Female,Grand_Total
Andhra Pradesh,2010,Total,2053,15,39,14,136,20,357,283,749,177,240,13,10,522,1531,2053
Arunachal Pradesh,2010,Total,67,0,0,0,5,0,0,17,34,4,7,0,0,21,46,67
Assam,2010,Total,3250,0,0,0,5,0,12,325,2168,158,582,0,0,483,2767,3250
Bihar,2010,Total,3674,23,1,58,64,112,1101,817,1312,103,91,1,0,1114,2569,3683
Chhattisgarh,2010,Total,359,5,7,14,49,15,96,28,115,17,12,1,0,80,279,359
Goa,2010,Total,25,2,0,0,1,0,11,3,4,4,2,0,0,9,18,27
Gujarat,2010,Total,1447,12,8,13,106,8,420,125,616,80,51,4,7,242,1208,1450
Haryana,2010,Total,963,11,6,17,23,6,66,138,576,58,61,7,0,237,732,969
Himachal Pradesh,2010,Total,194,5,0,8,18,5,50,8,82,6,15,2,1,34,166,200
Jammu & Kashmir,2010,Total,896,0,1,0,1,0,3,33,702,15,138,2,1,50,846,896
Jharkhand,2010,Total,978,1,0,0,3,4,10,195,589,80,94,2,0,282,696,978
Karnataka,2010,Total,1374,19,10,8,24,0,96,483,623,87,44,19,28,616,825,1441
Kerala,2010,Total,261,6,6,9,21,2,76,20,81,37,6,6,0,80,190,270
Madhya Pradesh,2010,Total,1187,10,10,12,145,16,264,82,590,37,34,7,0,164,1043,1207
Maharashtra,2010,Total,1508,37,42,30,170,21,548,166,398,111,56,22,2,387,1216,1603
Manipur,2010,Total,199,1,1,9,12,2,44,30,53,46,9,19,5,107,124,231
Meghalaya,2010,Total,71,3,3,2,2,3,7,34,9,10,3,0,0,52,24,76
Mizoram,2010,Total,9,0,0,0,0,0,0,4,1,4,0,0,0,8,1,9
Nagaland,2010,Total,50,2,1,1,2,5,2,15,4,17,0,1,0,41,9,50
Odisha,2010,Total,1016,1,1,0,20,0,33,76,822,27,36,0,0,104,912,1016
Punjab,2010,Total,789,30,4,7,76,10,263,84,253,63,3,5,1,199,600,799
Rajasthan,2010,Total,2985,12,19,23,163,43,537,289,1390,174,315,25,8,566,2432,2998
Sikkim,2010,Total,6,0,0,0,1,0,5,1,0,0,0,0,0,1,6,7
Tamil Nadu,2010,Total,1720,7,13,5,41,2,431,89,874,145,103,11,5,259,1467,1726
Tripura,2010,Total,114,1,0,2,8,0,11,17,57,15,18,1,0,36,94,130
Uttar Pradesh,2010,Total,6321,31,12,59,169,48,906,460,3682,247,699,10,0,855,5468,6323
Uttarakhand,2010,Total,286,0,0,3,0,5,1,25,217,4,31,0,0,37,249,286
West Bengal,2010,Total,3345,10,14,24,50,23,211,284,1573,229,840,35,98,605,2786,3391
A&N Islands,2010,Total,10,0,0,0,5,1,3,0,0,1,0,0,0,2,8,10
Chandigarh,2010,Total,38,3,1,0,6,0,13,6,8,1,0,0,0,10,28,38
D&N Haveli,2010,Total,18,0,0,1,7,0,2,3,1,3,1,0,0,7,11,18
Daman & Diu,2010,Total,2,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2
Delhi UT,2010,Total,3208,365,176,909,664,380,838,59,113,44,14,3,0,1760,1805,3565
Lakshadweep,2010,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,2010,Total,17,2,3,0,2,0,5,1,6,1,0,0,0,4,16,20
Telangana,2010,Total,2053,15,39,14,136,20,357,283,749,177,240,13,10,522,1531,2053
Ladakh,2010,Total,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
